sku,description
Delaware12X18ft,"Ideal for outdoor or indoor display, these Delaware state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These Delaware flags are Made in America and are on sale now!</b>"
France1218,"Made to official United Nations specifications, this France flag measures 12"" X 18"" is made of heavyweight nylon. Two brass grommets make for easy display and this France flag is proudly MADE IN AMERICA."
GA1218in,"Ideal for outdoor or indoor display, these Georgia state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These flags are Made in America and are on sale now!</b>"
Italy12X18,"Our Italy flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our world flags are made of Nyl-Glo 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our Italian flags are extremely durable, fast-drying, and boast brilliant, fast colors. These 12"" X 18"" Italy flags are also finished with strong canvas headings and brass grommets."
VF18221000,"<b>Perma-Nyl Colorfast American Flag Made by Valley Forge</b><br>
Flags exposed to harsh sunlight, wet weather and wide temperature changes require a strong construction material!</b>
<ul>
<li>These flags are Made in America with sturdy 200 denier nylon fabric.</li>
<li>Best resistance to damaging ultraviolet (UV) radiation.</li>
<li>Longest lasting, fade-resistant and tear-resistant material available.</li>
<li>Flies in the lightest breeze.</il>
<li>Provides the brightest colors for a great look.</li>
<li>1-Year manufacturer's ColorFast guarantee.</li></ul>

<b>What is a Perma-Nyl American flag?</b>
<ul><li>Perma-Nyl American flags are made by Valley Forge Flag Company, Inc., one of the world's oldest and largest flag manufacturers.</il>
<li>Each Perma-Nyl US flag is made of 100% nylon using the finest fabrics, designed specifically or outdoor use.</li>
<li>These flags exhibit tremendous strength retention under UV exposure as well as world-class tensile and tear strength.</li>
<li>Nylon provides 25% more toughness than polyester with greater abrasion and tear resistance.</li></ul>

<b>Our Perma-Nyl American flags also feature:</b>
<ul><li>Strong durable GALVANIZED thimbles.</li>
<li>Dense, lock-stitched embroidered stars.</li>
<li>Heavy-gauge canvas headers.</li>
<li>Double-stitched seams and 4 rows of stitching at fly end.</li></ul>

<b>This great American flag is available for immediate shipping to your door. Other websites and big box stores charge $469.99 for this flag. Buy it direct for less from AmericanFlags.com!</b>"
AF439003,"This well-made Marine Corps flag measures 12"" X 18"" and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Marine Corps flags are Made in America and ready for immediate shipping to your door!"
Mexico1218,"Our Mexico flags conform to all official specifications. Emblems and designs are executed with the highest possible degree of accuracy in regard to detail, color shades, placement and proportion to flag size. Ideal for indoor or outdoor display, our Mexico flags are made of 100% heavyweight nylon, specially treated to minimize sun and chemical deterioration. Our world flags are extremely durable, fast-drying, and boast brilliant, fast colors. These 12"" X 18"" Mexico flags are also finished with strong canvas headings and large grommets. Proudly Made in America!"
AF439024,"This well-made Navy flag measures 12"" X 18"" and is constructed with heavy-duty nylon. The colors are executed according to official U.S. military specifications and flag is finished with a canvas header and brass grommets. Like all of our other flags, these Navy flags are Made in America and ready for immediate shipping to your door!"
Oregon12x18in,"Ideal for outdoor or indoor display, these Oregon state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <br><br><b>These Oregon state flags are Made in America and are on sale now!</b>"
EF021347a,"Ideal for outdoor or indoor display, these Oregon state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <br><br><b>These Oregon state flags are Made in America and are on sale now!</b>"
Texas12x18in,"<P align=""justify"">Ideal for outdoor or indoor display, these Texas state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These Texas star flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations.<p><b>These Texas state flags are Made in America and are on sale now!</b>"
Washington12x18in,"Ideal for outdoor or indoor display, these state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations.<br><br>
<b>These Washington state flags are Made in America and are on sale now!</b>"
EF021722,"Ideal for outdoor or indoor display, these state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations.<br><br>
<b>These Washington state flags are Made in America and are on sale now!</b>"
ServiceBanner1218,"This standard is displayed by immediate family members of those serving in the Armed Forces during wartime. The enlisted family member need not be serving overseas in order for his or her family to display the banner. Organizations and businesses may also display the Service Banner if they have members serving in the Armed Forces. Each star typically represents a loved one serving and our service banners can accommodate 1-4 stars. Banner is fully sewn in Nylon, with a crossbar, gold cord and tassel.

* Carefully crafted in high-quality nylon.

* Made in the USA.

* Meets all government standards. 

* Available for immediate shipping.

* Save money by buying direct from AmericanFlags.com"
EF1218NYL,"<b>Questions about colors? <a href=""http://lib.store.yahoo.net/lib/yhst-45748600749679/colorchart.jpg ""target=""_blank"">Click here to see our color chart</b></a><p>
These 12"" X 18"" nylon solid color flags come in dozens of colors and are engineered to look great and outlast all other flags. Each features a heavy duty canvas header, reinforced stitching and solid brass grommets.

<i>Please note that flag colors may vary slightly based on your computer monitor settings and other factors beyond our control.</i>"
AF1218,"These 12"" X 18"" heavy duty nylon state flags are perfect for any boat. They are specially treated to resist sun, wind and water damage and feature a strong duck heading, durable anco dye and two solid brass grommets. All states are in-stock now and ready for fast shipping to your door."
1218Texas2ply,"This 12' X 18' Texas State Flag with sewn stripes and star is our top-of-the line, exceptionally durable all-weather flag. Made from heavyweight spun polyester, it is ideal for commercial or institutional use, high wind areas or daily use. It comes with a one year ColorFast Guarantee and matches our Tough Tex US Flags."
AF002770,"Made with 100% long-lasting 2-ply spun polyester, our Tough-Tex flags are designed to be the longest lasting flag ever made. With the rich look of cotton, these flags are engineered especially for industrial, commercial or institutional use or wherever severe weather conditions exist. Complete with reinforced stitching, embroidered stars, and extra-strength polyester thread, each flag is specially treated to reduce sun and chemical deterioration.
<ul>
<li>The longest lasting flag available anywhere.</li>
<li>Greatest durability.</li>
<li>Excellent for high wind areas and extreme weather conditions.</li>
<li>Suitable for commercial and industrial uses.</li>
</ul>
<b>Tough-Tex<li> Flag Material Outperforms All Other Flags Bar None. This Is The Very Best Flag Made In America!</b>
<ul>
<li>100% 2-ply spun-woven polyester fabric resists high winds.</li>
<li>Open weave reduces fabric stress for longer wear.</li>
<li>One Year Colorfast Guarantee.</li>
<li>Backed by the oldest and largest flag manufacturer in the US.</li>
<li>Heavy rope heading, embroidered stars and double stitched seams.</li>
<li>Every flag double-inspected and meets official U.S government specifications.</li></ul><br>
<b>This great flag is available for immediate shipping to your door. Other websites sell this flag for $529.99. Buy it direct for less from AmericanFlags.com!</b>"
13-Star-US-Flag,"These 13-star historic US flags are constructed of high-quality dense nylon with appliqu<li>d stars and sewn stripes. Each 13-star flag features brass grommets and is suitable for indoor or outdoor display. States included on this flags star field include: CT, DE, GA, MD, MA, NH, NJ, NY, NC, PA, RI, SC, VA."
EFCustomBanner1420,"Our Custom Wall & Podium Satin Banners are made in America with 100% bridal quality rayon acetate satin. All feature sides that are carefully hem-stitched and come complete with a spear-tipped crossbar and hanging cord with tassels. The color of the hanging cord will match the fringe color you select. We are proud to offer these custom mini award and club satin banners in several popular sizes and colors.

<i>Minimum quantity is 6 banners. Quantity discounts shown above are for identical designs and artwork charges may apply to orders requiring design or image manipulation.</i>"
